Title,Genre,ReleaseYear,Rating,Votes,RevenueMillions,MovieScore
Movie 148,Drama,1980,5.7,50243,15.83,63.28348457010072
Movie 149,Horror,2021,6.7,59853,74.07,81.10474573477605
Movie 150,Drama,2013,8.6,20581,35.13,88.92968080300592
Movie 151,Action,2014,4.7,54435,62.07,57.45947059979698
Movie 152,Comedy,2018,7.0,63257,35.99,80.98383816563504
Movie 153,Action,1995,6.8,65004,134.82,88.84109238917463
Movie 154,Drama,1984,4.7,88781,72.94,60.84551426693377
Movie 155,Comedy,2019,6.7,84222,115.59,87.54519625789676
Movie 156,Horror,2012,8.5,32927,295.28,117.94566842838711
Movie 157,Drama,1985,4.0,87895,129.41,58.47663830552287
Movie 158,Action,2016,5.7,45298,253.97,86.506929346182
Movie 159,Comedy,2019,7.0,32004,111.25,83.74053193703273
Movie 160,Drama,1996,7.5,1736,138.76,69.82536074680829
Movie 161,Horror,1982,8.5,13603,259.34,106.83801274208022
Movie 162,Drama,2001,5.7,17552,164.03,72.10898688040118
Movie 163,Action,2002,7.7,56965,45.82,88.8986160576505
Movie 164,Drama,2013,6.3,79341,72.75,78.34859428081285
Movie 165,Drama,2010,7.4,71710,102.59,92.9939557955854
Movie 166,Comedy,2015,6.3,4550,252.62,78.32754428850484
Movie 167,Horror,2011,6.2,80574,148.59,84.90005098143855
Movie 168,Action,1991,6.3,65967,249.23,94.83362784616409
Movie 169,Horror,1990,6.9,80472,72.89,85.2291713235948
Movie 170,Horror,2000,3.7,28883,77.96,45.79885942401297
Movie 171,Action,1993,6.9,97659,130.24,92.299806629548
Movie 172,Drama,2023,5.7,54189,57.58,67.88943451079291
Movie 173,Action,1999,8.5,81405,67.37,102.84823620445704
Movie 174,Drama,2018,6.6,28527,121.19,79.82603284467928
Movie 175,Drama,1999,3.8,19163,82.54,45.72499743241144
Movie 176,Action,1980,7.6,47773,89.09,90.79319996454328
Movie 177,Action,2007,4.4,50454,120.24,59.67088336715397
Movie 178,Action,2008,6.7,19335,61.48,72.27515027996823
Movie 179,Drama,1999,6.3,38019,139.11,80.34996598106724
Movie 180,Comedy,1986,5.3,82399,222.88,82.28050579425708
Movie 181,Horror,2010,7.5,53406,286.26,110.26872826874677
Movie 182,Horror,1981,5.7,91456,144.28,79.54265791406212
Movie 183,Drama,1999,7.0,24085,219.0,92.52570226474299
Movie 184,Action,2014,9.4,47152,30.53,104.2078373799509
Movie 185,Drama,1984,9.2,21582,178.37,109.64988347018253
Movie 186,Drama,2009,8.3,29247,229.8,108.33360173630717
Movie 187,Horror,2017,6.6,65801,79.89,81.21207637912254
Movie 188,Action,2011,7.2,55235,224.29,101.04846539395774
Movie 189,Horror,2004,6.7,9166,51.32,66.2585478983439
Movie 190,Horror,1985,6.0,39289,254.99,88.97135187531504
Movie 191,Horror,2019,10.1,94999,136.81,129.44348492288506
Movie 192,Drama,2000,8.2,44472,187.69,106.53062784800096
Movie 193,Action,2006,6.8,61439,102.72,85.24755130118656
Movie 194,Horror,2007,6.0,67930,61.95,72.95248657868012
Movie 195,Horror,2012,4.3,96256,119.08,61.249541000146515
Movie 196,Action,2008,5.8,44504,101.44,72.22346956407958
Movie 197,Action,1996,5.9,81459,72.91,74.00741754909417
Movie 198,Drama,1982,3.2,85265,70.95,43.42629939462373
Movie 199,Action,2011,6.6,20148,295.74,94.98600559312165
Movie 200,Comedy,1998,9.2,52815,237.65,123.81103897765536
Movie 201,Drama,2007,7.1,30912,247.11,98.11741781333689
Movie 202,Action,2008,7.4,25919,1.06,75.31049911344995
Movie 203,Drama,1992,5.8,53770,154.42,78.61843949069882
Movie 204,Comedy,2020,5.9,8326,42.81,57.54182530479134
Movie 205,Comedy,1994,6.4,91063,224.16,95.49963414403234
Movie 206,Action,1997,8.2,26338,13.96,84.86220927793646
Movie 207,Horror,1993,7.2,27715,184.92,92.14630902778035
Movie 208,Action,2008,4.1,380,70.56,31.421477438019473
Movie 209,Drama,2015,6.6,40810,54.4,75.510265750525
Movie 210,Comedy,1995,4.2,37246,76.52,51.85837207133707
Movie 211,Horror,2016,7.8,23639,118.97,90.44842467785627
Movie 212,Action,1981,6.5,10808,165.21,76.89387359620531
Movie 213,Action,2004,5.6,81629,179.04,81.23973187449425
Movie 214,Horror,2010,9.7,8191,152.13,102.61885946860909
Movie 215,Comedy,1997,4.7,29242,3.58,48.68995888656593
Movie 216,Comedy,1988,3.0,75364,282.55,61.94529476573389
Movie 218,Comedy,2007,7.0,79179,268.96,105.85235314462085
Movie 219,Comedy,2011,7.1,13328,160.53,83.48665148038853
Movie 220,Drama,2022,5.7,88767,189.52,83.89655457094467
Movie 221,Comedy,2003,8.1,40344,7.71,86.67330427728912
Movie 222,Comedy,1980,4.3,32106,68.44,51.464366221685914
Movie 223,Horror,1994,7.2,61984,123.8,91.82946343476017
Movie 224,Action,2021,7.4,31366,12.18,77.83398631242677
Movie 225,Drama,2018,6.3,36135,116.26,77.74478272720697
Movie 226,Comedy,1999,5.3,8025,117.73,59.42234021938236
Movie 227,Comedy,1997,8.2,1313,60.01,64.88381583216535
Movie 228,Drama,2015,4.9,8287,145.19,58.7295634260464
Movie 229,Horror,2014,5.8,80442,45.46,70.05876400080207
Movie 230,Drama,2023,7.3,39652,198.3,97.12182976957858
Movie 231,Comedy,2003,4.9,47689,89.62,61.74713735533213
Movie 232,Comedy,1993,6.9,34352,144.83,86.549667947562
Movie 233,Drama,2006,3.9,11308,118.75,48.27508117669818
Movie 234,Horror,2004,9.0,75920,268.78,128.0150374446113
Movie 235,Drama,1982,5.8,15247,73.01,63.1677810301851
Movie 236,Comedy,2011,10.3,82610,70.83,123.6985506623197
Movie 237,Comedy,1998,5.8,60712,217.37,85.61769610850729
Movie 238,Action,1996,9.0,26005,164.37,107.93174303650139
Movie 239,Drama,1990,8.0,37919,90.3,93.37587165095167
Movie 240,Horror,2013,5.7,7077,142.06,64.73505596716083
Movie 241,Drama,2009,4.5,20116,27.42,47.333942284778566
Movie 242,Horror,1995,5.2,57049,12.29,58.177753447509154
Movie 243,Horror,2003,7.5,11406,37.52,73.81686860770922
Movie 244,Drama,2002,8.8,59516,229.58,119.70535193209577
Movie 245,Action,2003,3.5,68409,119.76,50.94246002114265
Movie 246,Drama,2021,6.7,87773,93.65,85.62788807498114
Movie 247,Comedy,1980,5.3,40473,148.31,71.0555998796475
Movie 248,Action,2005,7.2,81986,19.25,83.38807503506796
Movie 249,Horror,1998,8.7,98009,271.59,127.14657570139005
Movie 250,Drama,1990,5.5,43118,147.02,73.39645457820637
Movie 251,Action,2016,7.7,4961,235.47,89.07064406473845
Movie 252,Drama,2014,5.6,61340,260.04,87.73954094462252
Movie 253,Comedy,1988,7.5,32729,282.17,106.1873552562142
Movie 254,Action,2005,6.0,48232,229.55,87.65779227846531
Movie 255,Action,1999,6.5,26439,294.54,95.64111641077656
Movie 256,Drama,2001,3.5,95689,153.21,55.46204177570658
Movie 257,Horror,2011,6.4,87678,83.0,81.14120126084681
Movie 258,Comedy,2003,4.7,23047,55.47,52.760071100792516
Movie 259,Comedy,1998,7.7,57513,232.85,107.67533430065923
Movie 260,Comedy,1997,7.4,21580,210.54,94.90280746936683
Movie 261,Drama,1992,7.7,67889,54.0,91.06745901017683
Movie 262,Horror,2008,6.2,62494,56.3,74.09561936165079
Movie 263,Action,2020,5.8,60144,234.95,87.32117883608339
Movie 264,Action,1998,8.4,70691,149.08,108.70313660700138
Movie 265,Comedy,2005,7.3,21262,16.6,74.40248338964892
Movie 266,Horror,2012,6.4,49338,209.73,90.13440878301789
Movie 267,Action,1988,7.1,86714,79.62,88.69171332311127
Movie 268,Action,2008,8.6,17471,58.2,89.82785195548382
Movie 269,Horror,1998,6.5,67723,218.22,94.1227733581128
Movie 270,Horror,2020,7.3,28136,18.92,76.67933722079245
Movie 271,Horror,1984,8.3,71635,161.21,108.90963006505905
Movie 272,Horror,1995,7.1,13937,61.47,73.8978568341891
Movie 273,Comedy,1985,3.7,28661,120.7,50.044311685686665
Movie 274,Drama,2005,7.3,75648,160.31,98.03817435261689
Movie 275,Comedy,1993,7.8,72519,289.19,116.21361778597652
Movie 276,Horror,1996,6.8,94415,102.66,88.16316763921927
Movie 277,Horror,1998,5.9,32907,48.89,66.25767930290405
Movie 278,Drama,2021,5.0,77157,5.59,56.82705273258921
Movie 279,Drama,2015,5.9,74670,210.67,87.26999774957613
Movie 280,Drama,2011,6.1,65786,71.39,74.81348292937138
Movie 281,Drama,2004,7.7,92461,282.54,116.30005831778548
Movie 282,Action,2007,5.5,60404,281.8,88.72854939074516
Movie 283,Action,1999,6.9,92349,242.12,103.10205280082897
Movie 284,Comedy,1989,7.0,21280,235.75,93.33398954382871
Movie 285,Drama,2008,3.3,22558,190.66,52.14483494868179
Movie 286,Horror,1981,5.0,36379,116.04,64.11287226036058
Movie 287,Action,2006,6.4,61856,277.04,98.31251551013008
Movie 288,Action,1990,6.3,32622,130.6,78.53446889240267
Movie 289,Horror,1998,5.0,67687,173.18,72.93132095302168
Movie 290,Drama,2002,4.7,81363,190.43,72.18443451049518
Movie 291,Horror,2005,4.9,77181,162.72,71.41621558620423
Movie 292,Comedy,2006,5.5,4038,205.52,66.22263828559878
Movie 293,Action,1986,7.7,31312,62.83,85.99177241837977
Movie 294,Drama,1987,6.6,84494,118.81,86.75435442397969
Movie 295,Action,1983,5.5,72185,102.85,71.81350770143868
Movie 296,Horror,2012,4.6,22403,259.86,72.06417604931671
Movie 297,Drama,1980,7.0,98248,168.72,97.33882246093863
Movie 298,Horror,1993,9.4,41879,194.86,119.52609845085406
Movie 299,Drama,2009,5.3,31056,31.67,57.987971375372936
Movie 300,Drama,1991,5.4,77957,71.42,67.96719769519828
Movie 301,Comedy,2020,7.8,49850,45.08,88.8789919158807
Movie 303,Horror,1996,5.6,40129,178.55,77.21432499426137
Movie 304,Horror,2015,4.2,20392,256.43,67.31937733150787
Movie 305,Drama,2011,9.2,73571,291.55,132.25038213746632
Movie 306,Action,1990,4.7,22084,277.15,74.72747344294395
Movie 307,Action,1985,5.6,22587,289.25,85.06597479643928
Movie 308,Comedy,1996,5.9,18462,11.6,59.118791649534884
Movie 309,Action,2013,4.4,70261,119.99,61.10294012089945
Movie 310,Drama,2014,7.5,77331,208.32,105.25097340339295
Movie 311,Drama,2023,5.3,74168,256.87,85.12173822612789
Movie 312,Comedy,1991,5.2,59301,284.16,85.56607121839546
Movie 313,Horror,2015,8.1,83505,217.92,113.58665749281315
Movie 314,Horror,2021,5.9,50585,282.3,92.13543780918931
Movie 315,Comedy,1980,5.7,91176,206.31,85.72818032226162
Movie 316,Comedy,2020,6.4,35618,107.81,77.85706068693698
Movie 317,Comedy,2016,3.1,42201,242.93,57.308690966024606
Movie 318,Comedy,2019,5.4,34350,128.45,69.24468661026461
Movie 319,Action,1992,4.9,29485,4.0,50.82918718170785
Movie 320,Action,2009,9.2,67201,298.82,132.14421624935275
Movie 321,Action,1982,7.6,71770,63.61,91.33839188031308
Movie 322,Action,1992,6.4,94817,105.48,83.89017307927782
Movie 323,Comedy,1994,5.6,67270,107.72,73.0243132917094
Movie 324,Action,2018,9.8,66916,259.74,134.86384157959571
Movie 325,Action,2013,6.2,73213,78.03,77.25008001865504
Movie 326,Drama,2009,6.0,99493,25.67,71.61411571892563
Movie 327,Horror,2004,8.2,66863,60.87,97.19241107443911
Movie 328,Comedy,2015,8.3,81620,204.7,114.34168744450544
Movie 329,Drama,1982,7.6,56523,222.78,105.44039660334005
Movie 330,Drama,1984,3.9,27141,261.23,65.93746672830113
Movie 331,Comedy,2015,7.6,47468,229.05,104.7405243049419
Movie 332,Drama,2012,7.2,12081,256.21,93.29719854903054
Movie 333,Horror,2007,6.8,75544,293.97,105.7778897323828
Movie 334,Comedy,2012,10.2,14086,197.16,117.15667818565512
Movie 335,Action,2020,7.4,5430,217.8,85.41910132945786
Movie 336,Action,2006,7.5,91028,34.09,89.05100062037172
Movie 337,Comedy,2012,6.5,56617,129.45,84.0815345264253
Movie 338,Horror,2023,5.6,64900,87.2,70.77146254100622
Movie 339,Comedy,2000,7.0,71921,129.95,91.27836234204608
Movie 340,Horror,2021,3.5,54342,268.34,64.99474881292232
Movie 341,Horror,1992,6.6,59792,177.77,90.3680495831236
Movie 342,Action,2011,6.0,91988,216.67,90.24354570199176
Movie 343,Drama,2012,5.2,20707,269.32,78.61103196571332
Movie 344,Action,1998,6.6,85296,119.38,86.87370411496191
Movie 345,Horror,2018,8.4,6907,234.59,97.71865768983919
Movie 346,Horror,2022,7.3,935,46.41,54.584792978286416
Movie 347,Drama,2022,7.1,18056,129.69,82.55814977153275
Movie 348,Horror,2022,4.9,51459,290.38,82.19594442059511
Movie 349,Comedy,2018,6.0,55867,247.74,90.35848226655398
Movie 350,Action,2020,7.3,10919,108.52,78.72996411988194
Movie 351,Comedy,2016,4.8,18848,226.31,69.88323267714108
Movie 352,Action,2003,7.7,31535,195.78,99.34141472632227
Movie 353,Action,1990,9.0,40117,117.82,107.17822351346179
Movie 354,Drama,2016,7.5,22552,134.56,88.63317530332083
Movie 355,Action,2018,7.5,41604,20.62,81.83181723500897
Movie 356,Horror,1995,4.4,21646,139.59,57.88253748507937
Movie 357,Drama,1992,5.4,63442,237.33,83.44564457742422
Movie 358,Drama,1993,5.2,32095,133.43,67.30073079196065
Movie 359,Comedy,2008,7.0,33488,77.95,80.7278061397799
Movie 360,Action,2005,6.4,68293,292.84,100.52609404140443
Movie 361,Drama,1982,6.0,13113,181.2,75.00861384494138
Movie 362,Comedy,1989,8.1,92295,224.16,115.02132426911771
Movie 363,Horror,2014,2.5,11532,66.98,30.08041942556485
Movie 364,Drama,1989,8.3,60526,1.81,91.57101205129248
Movie 365,Action,2005,5.4,10795,251.66,75.31542726034463
Movie 366,Action,2004,3.4,27979,103.71,45.18443384394621
Movie 367,Action,1995,6.2,46647,26.23,69.27538906399235
Movie 368,Horror,2000,4.8,78461,58.57,59.95477460864588
Movie 369,Drama,2007,7.6,55142,257.05,108.67940668447024
Movie 370,Horror,2003,7.3,43144,71.53,85.06094924907957
Movie 371,Horror,2010,6.8,82504,94.6,86.44017640051895
Movie 372,Comedy,1999,7.1,9567,29.35,68.01487428095193
Movie 373,Action,1991,5.5,8561,108.38,60.6409899768769
Movie 374,Action,2017,6.6,78182,219.06,96.26692957653452
Movie 375,Action,1996,5.2,70419,45.85,62.62860948208703
Movie 376,Drama,2002,5.1,41910,235.77,77.85784836657001
Movie 377,Drama,2000,5.9,11163,16.09,56.59965260847166
Movie 378,Drama,2009,3.4,52227,286.52,65.58747169699495
Movie 379,Action,1997,8.9,80092,48.74,105.36339927243735
Movie 380,Comedy,1991,6.7,89976,246.72,101.10097271934964
Movie 381,Action,1981,8.4,76324,277.75,122.21414886786587
Movie 382,Action,2019,3.9,75068,15.22,45.30403558135354
Movie 383,Action,1984,4.7,41931,285.28,78.55388132659058
Movie 384,Drama,2023,7.0,53032,25.18,78.66868748198026
Movie 385,Comedy,1986,3.6,75632,224.4,62.88113270950413
Movie 386,Action,1988,6.8,77761,154.2,91.99757548098357
Movie 387,Horror,2019,7.0,7853,279.92,90.77344764596569
Movie 388,Drama,2004,5.1,8239,190.01,64.98645367680794
Movie 389,Horror,2019,6.2,88599,112.96,81.92570024687768
Movie 390,Comedy,2003,6.4,38950,90.15,76.66338223942576
Movie 391,Horror,1998,8.2,47674,176.82,106.01373192984268
Movie 392,Drama,1998,6.8,78690,6.54,77.3123316728947
Movie 393,Action,1994,5.2,22732,189.3,71.0941790399566
Movie 394,Drama,2017,5.7,57894,144.72,76.98040193306433
Movie 395,Drama,1999,9.0,68282,113.61,111.54374501406865
Movie 396,Comedy,2012,4.1,76754,139.32,60.050332620619926
Movie 397,Horror,2020,4.3,19699,102.18,52.73800783332214
Movie 398,Horror,2007,6.7,39787,250.74,96.03584827642443
Movie 399,Action,1995,8.0,64230,102.08,98.76992991343498
Movie 400,Action,1992,9.5,74330,209.21,127.47569202589588
Movie 401,Comedy,1994,6.9,68913,184.92,95.36224094282014
Movie 402,Action,2001,7.2,79892,26.56,83.93279333251269
Movie 403,Action,1989,7.0,48379,296.3,105.13789248914813
Movie 404,Horror,1993,6.7,90357,277.64,104.22128340555174
Movie 405,Action,2017,7.3,7368,36.51,68.65777222259909
Movie 406,Drama,1993,4.3,76763,88.94,57.262511554723986
Movie 407,Drama,1980,5.2,33191,202.61,74.39333364246608
Movie 408,Drama,1988,5.3,86847,146.06,74.87714813893106
Movie 409,Horror,1989,5.3,27015,224.71,76.55317817894664
Movie 410,Comedy,2004,5.2,58419,293.99,86.47115059489701
Movie 411,Drama,2015,7.0,40222,128.93,87.10835975210914
Movie 412,Comedy,2003,5.5,93262,129.65,75.90248305887367
Movie 413,Comedy,1990,6.5,33667,233.62,91.11997021715453
Movie 414,Drama,2000,5.1,67963,141.99,70.9453405042488
Movie 415,Action,2006,5.9,76702,66.93,73.05440699011434
Movie 416,Horror,2018,4.7,49222,141.51,64.93034648272689
Movie 417,Comedy,1982,7.0,5825,83.53,69.04360156263566
Movie 418,Horror,2015,5.7,99428,277.73,93.36403487340166
Movie 419,Horror,2001,6.6,69976,75.14,81.14308451103594
Movie 420,Drama,1989,6.8,40552,103.9,82.54048226890146
Movie 421,Horror,1997,6.3,69904,152.56,85.53182247545813
Movie 422,Comedy,2016,6.3,30682,37.45,68.83322341592022
Movie 423,Drama,2004,8.6,6841,81.03,84.04818414362292
Movie 424,Drama,2018,8.3,25312,15.24,85.67830902694388
Movie 425,Action,2012,4.4,29518,265.79,71.86727337232824
Movie 426,Comedy,1982,3.9,65870,41.95,47.467268895456044
Movie 427,Comedy,1984,5.0,72861,179.98,73.97961260044869
Movie 428,Action,2002,3.9,72896,29.06,46.57353078305773
Movie 429,Action,1998,4.6,2787,15.73,38.0651669506499
Movie 430,Comedy,1998,7.0,36447,253.51,98.87649306372836
Movie 431,Horror,2022,8.2,23855,92.85,91.93928650343706
Movie 432,Drama,2007,7.1,56489,143.31,92.01791426326709
Movie 433,Drama,1988,6.1,32299,95.2,72.85521730618555
Movie 434,Drama,2011,4.0,63404,281.15,72.344192006676
Movie 435,Comedy,1998,8.2,43444,149.89,102.5588586040411
Movie 436,Comedy,2019,5.4,82721,136.03,74.7485006839583
Movie 437,Action,2014,6.8,94093,229.96,100.86993701877952
Movie 438,Drama,2016,7.1,86805,6.56,81.3931602610523
Movie 439,Comedy,2022,8.2,81845,126.47,105.41027663611364
